Title,Maker,Body,Sources,Tags,Date Promised,Update Headline,Status,Update Body,Update Sources,,Other,Author,Date,Title,Sponsor of website,Date accessed,Link,,Author,Date,Title,Sponsor of website,Date accessed,Link
Promises tax break for school uniforms,Julia Gillard,"JULIA Gillard has unveiled her first election promise, offering parents a tax break of up to almost $800 to cover the cost of school uniforms. The pledge - to cost about $220 million over four years. The refund - worth up to $390 for a primary school child and $779 for a secondary student - will not become available until families lodge their tax returns in 2012-13.","author date, [title](http://www.abc.net.au/pm/content/2010/s2952530.htm), sponsor of website date accessed",Education,13/07/2010,sdfsdfsdfsdfsdfsdfsdfsdf,stalled,sdfsdfsdfsdfsdfsdfsdf,"author date, [title](http://www.abc.net.au/pm/content/2010/s2952530.htm), sponsor of website date accessed",,,author,date,title,sponsor of website,date accessed,http://www.abc.net.au/pm/content/2010/s2952530.htm,,author,date,title,sponsor of website,date accessed,http://www.abc.net.au/pm/content/2010/s2952530.htm
Increasing spending on hospitals,Julia Gillard,Increased hospital funding by 50%,,Health,17/07/2010,,,,,,,,,,,,,,,,,,,
Combating climate change by investing in solar power,Julia Gillard,,,Environment,17/07/2010,,,,,,,,,,,,http://news.ninemsn.com.au/national/election2010/7930934/julia-gillard-calls-election-for-august-21,,,,,,,
Offering a new national curriculum for children,Julia Gillard,,,Education,17/07/2010,,,,,,,,,,,,http://news.ninemsn.com.au/national/election2010/7930934/julia-gillard-calls-election-for-august-21,,,,,,,
Tightening border protection.,Julia Gillard,,,Border Security,17/07/2010,,,,,,,,,,,,http://news.ninemsn.com.au/national/election2010/7930934/julia-gillard-calls-election-for-august-21,,,,,,,
Promise to spend is equivalent to save,Julia Gillard,By making sure that any promise we make to spend money is offset by a promise to save money.,,Budget,17/07/2010,,,,,,,,,,,,http://news.ninemsn.com.au/national/election2010/7930934/julia-gillard-calls-election-for-august-21,,,,,,,
Will not change budget.,Julia Gillard,By making sure that the budget bottom line doesn't change by one cent during the election campaign.,,Budget,17/07/2010,,,,,,,,,,,,http://news.ninemsn.com.au/national/election2010/7930934/julia-gillard-calls-election-for-august-21,,,,,,,
To build a $2.6 billion rail link between Parramatta and Epping.,Julia Gillard,"Preliminary work on the 14-kilometre heavy rail link, which will shave 25 minutes off the trip from Chatswood to Parramatta, will begin next year [2010] and construction is due to be completed in 2017. To ensure the state government delivers on its end of the deal, the project will be overseen by the federal government's infrastructure body, Infrastructure Australia.",,Transport,11/08/2010,,,,,,,,,,,,http://www.smh.com.au/federal-election/gillards-2b-transport-fix-20100810-11y71.html,,,,,,,
Increase pensioner funding,Julia Gillard, Labor has provided more help for pensioners through increases of more than $100 a fortnight in the age pension for singles and $76 for couples.,,,,,,,,,,,,,,,,,,,,,,
Julia Gillard and Labor have a plan to get the budget back in the black with a surplus in 3 years.,Julia Gillard,,,Budget,,,,,,,,,,,,,http://www.alp.org.au/federal-government/achievements/getting-the-budget-back-in-black-3-years-early/,,,,,,,
Establishing a single national school curriculum,Julia Gillard,"The new English, maths, science and history curriculum was the subject of extensive consultation this year and is currently being road tested in schools around Australia. The next phase of work has commenced to develop the National Curriculum for languages, geography and the arts.",,Education,,,,,,,,,,,,,,,,,,,,
