"Political Party","Surname","First Name","Other Names","Preferred Name","Initials","Courtesy Title","Salutation","Honorific","Gender","Parliament House Telephone","Parliament House Fax","State","Electorate","Electorate Office Postal Address","Electorate Office Postal Suburb","Electorate Office Postal State","Electorate Office Postal PostCode","Electorate Office Fax","Electorate Office Phone","Electorate Office Toll Free","Parliamentary Titles"
AG,Bandt,Adam,Paul,,A. P.,Mr,Mr,MP,MALE,(02) 6277 4775,(02) 6277 8583,Vic,Melbourne,280 King St,Melbourne,Vic,3000,(03) 9642 0599,(03) 9642 0922,,
ALP,Adams,Dick,Godfrey Harry,,D. G. H.,Hon,Mr,MP,MALE,(02) 6277 4293,(02) 6277 8459,Tas,Lyons,PO Box 50,Perth,Tas,7300,(03) 6398 1120,(03) 6398 1115,1300 132 689,
ALP,Albanese,Anthony,Norman,,A. N.,Hon,Mr,MP,MALE,(02) 6277 7680,(02) 6273 4126,NSW,Grayndler,334A Marrickville Road,Marrickville,NSW,2204,(02) 9564 1734,(02) 9564 3588,,"Leader of the House, Minister for Infrastructure and Transport"
ALP,Bird,Sharon,Leah,,S. L.,Ms,Ms,MP,FEMALE,(02) 6277 4717,(02) 6277 8422,NSW,Cunningham,"PO Box 387,",Wollongong,NSW,2520,(02) 4228 5077,(02) 4228 5899,,
ALP,Bowen,Chris,Eyles,,C. E.,Hon,Mr,MP,MALE,(02) 6277 7860,(02) 6273 4144,NSW,McMahon,PO Box 802,Fairfield,NSW,2165,(02) 9724 6115,(02) 9726 4100,,Minister for Immigration and Citizenship
ALP,Bradbury,David,John,,D. J.,Hon,Mr,MP,MALE,(02) 6277 4199,(02) 6277 8465,NSW,Lindsay,PO Box 712,Penrith,NSW,2750,(02) 4732 1812,(02) 4732 1801,,Parliamentary Secretary to the Treasurer
ALP,Brodtmann,Gai,Marie,Gai,G.,Ms,Ms,MP,FEMALE,(02) 6277 4811,(02) 6277 8585,ACT,Canberra,205 Anketell St,Tuggeranong,ACT,2900,(02) 6293 1068,(02) 6293 1344,,
ALP,Burke,Anna,Elizabeth,,A. E.,Ms,Ms,MP,FEMALE,(02) 6277 4127,(02) 6277 8528,Vic,Chisholm,PO Box 3042,Syndal,Vic,3149,(03) 9802 0588,(03) 9802 0566,,
ALP,Burke,Anthony,Stephen,Tony,A. S.,Hon,Mr,MP,MALE,(02) 6277 7640,(02) 6273 6101,NSW,Watson,"PO Box 324,",Kingsgrove,NSW,1480,(02) 9554 3504,(02) 9553 3800,,"Minister for Sustainability, Environment, Water, Population and Communities"
ALP,Butler,Mark,Christopher,,M. C.,Hon,Mr,MP,MALE,(02) 6277 7280,(02) 6273 4138,SA,Port Adelaide,PO Box 2038,Port Adelaide,SA,5015,(08) 8242 0744,(08) 8242 0733,,Minister for Mental Health and Ageing
ALP,Byrne,Anthony,Michael,,A. M.,Hon,Mr,MP,MALE,(02) 6277 4309,(02) 6277 8473,Vic,Holt,"Shop HM 2B, 8-10 Overland Drive",Fountain Gate,Vic,3805,(03) 9796 7088,(03) 9796 7533,,
ALP,Champion,Nicholas,David,Nick,N. D.,Mr,Mr,MP,MALE,(02) 6277 4451,(02) 6277 8511,SA,Wakefield,PO Box 288,Smithfield,SA,5114,(08) 8284 2433,(08) 8284 2422,1300 780 170,
ALP,Cheeseman,Darren,Leicester,,D. L.,Mr,Mr,MP,MALE,(02) 6277 4702,(02) 6277 8524,Vic,Corangamite,"Shop 3A, 195 Colac Road",Waurn Ponds,Vic,3216,(03) 5241 1863,(03) 5243 2400,1300 661 352,
ALP,Clare,Jason,Dean,,J. D.,Hon,Mr,MP,MALE,(02) 6277 7620,(02) 6273 7112,NSW,Blaxland,PO Box 153,Bankstown,NSW,1885,(02) 9790 0770,(02) 9790 2466,,Minister for Defence Materiel
ALP,Collins,Julie,Maree,,J. M.,Hon,Ms,MP,FEMALE,(02) 6277 4881,(02) 6277 2307,Tas,Franklin,PO Box 38,Rosny Park,Tas,7018,(03) 6244 1211,(03) 6244 1222,,Parliamentary Secretary for Community Services
ALP,Combet,Gregory,Ivan,Greg,G. I.,Hon,Mr,"AM, MP",MALE,(02) 6277 7920,(02) 6273 7330,NSW,Charlton,PO Box 747,Cardiff,NSW,2285,(02) 4954 2655,(02) 4954 2611,,Minister for Climate Change and Energy Efficiency
ALP,Crean,Simon,Findlay,,S. F.,Hon,Mr,MP,MALE,(02) 6277 7380,(02) 6273 4117,Vic,Hotham,PO Box 5295,Clayton,Vic,3168,(03) 9545 6299,(03) 9545 6211,,"Minister for Regional Australia, Regional Development and Local Government, Minister for the Arts"
ALP,Danby,Michael,,,M.,Mr,Mr,MP,MALE,(02) 6277 4520,(02) 6277 8480,Vic,Melbourne Ports,PO Box 2086,St Kilda West,Vic,3182,(03) 9534 1575,(03) 9534 8126,,
ALP,D'Ath,Yvette,Maree,,Y. M.,Mrs,Mrs,MP,FEMALE,(02) 6277 4501,(02) 6277 8442,Qld,Petrie,PO Box 667,Aspley,Qld,4034,(07) 3863 2889,(07) 3863 6888,,
ALP,Dreyfus,Mark,Alfred,Mark,M. A.,Hon,Mr,"QC, MP",MALE,(02) 6277 4305,(02) 6277 8484,Vic,Isaacs,"Shop No. 6, Parkmore Shopping Centre, Cheltenham Road",Keysborough,Vic,3173,(03) 9769 1977,(03) 9769 1955,,"Cabinet Secretary, Parliamentary Secretary for Climate Change and Energy Efficiency"
ALP,Elliot,Maria,Justine,Justine,M. J.,Hon,Mrs,MP,FEMALE,(02) 6277 4554,(02) 6277 8520,NSW,Richmond,PO Box 6996,Tweed Heads South,NSW,2486,(07) 5523 4379,(07) 5523 4371,,Parliamentary Secretary for Trade
ALP,Ellis,Katherine,Margaret,Kate,K. M.,Hon,Ms,MP,FEMALE,(02) 6277 7630,(02) 6273 5188,SA,Adelaide,"161a Main North Road, Nailsworth",,SA,5083,(08) 8269 2488,(08) 8269 2433,,"Minister for Employment Participation and Childcare, Minister for the Status of Women"
ALP,Emerson,Craig,Anthony,,C. A.,Hon Dr,Dr,MP,MALE,(02) 6277 7420,(02) 6273 4128,Qld,Rankin,PO Box 349,Woodridge,Qld,4114,(07) 3208 8744,(07) 3299 5910,,Minister for Trade
ALP,Ferguson,Laurie,Donald Thomas,Laurie,L. D. T.,Mr,Mr,MP,MALE,(02) 6277 4920,(02) 6277 8507,NSW,Werriwa,"PO Box 191,",Ingleburn,NSW,1890,(02) 9829 7499,(02) 9829 7477,,
ALP,Ferguson,Martin,John,,M. J.,Hon,Mr,"AM, MP",MALE,(02) 6277 7930,(02) 6273 0434,Vic,Batman,159 High Street,Preston,Vic,3072,(03) 9416 7810,(03) 9416 8690,,"Minister for Resources and Energy, Minister for Tourism"
ALP,Fitzgibbon,Joel,Andrew,,J. A.,Hon,Mr,MP,MALE,(02) 6277 4083,(02) 6277 2309,NSW,Hunter,PO Box 526,Cessnock,NSW,2325,(02) 4991 2322,(02) 4991 1022,,Chief Government Whip
ALP,Garrett,Peter,Robert,,P. R.,Hon,Mr,"AM, MP",MALE,(02) 6277 7350,(02) 6273 4134,NSW,Kingsford Smith,PO Box 249,Maroubra,NSW,2035,(02) 9349 8089,(02) 9349 6007,,"Minister for School Education, Early Childhood and Youth"
ALP,Georganas,Steven,,Steve,S.,Mr,Mr,MP,MALE,(02) 6277 4415,(02) 6277 8438,SA,Hindmarsh,"Shop 2, 670 ANZAC Highway",Glenelg,SA,5045,(08) 8376 7888,(08) 8376 9000,,
ALP,Gibbons,Stephen,William,Steve,S. W.,Mr,Mr,MP,MALE,(02) 6277 2230,(02) 6277 8564,Vic,Bendigo,PO Box 338,Bendigo,Vic,3550,(03) 5443 9736,(03) 5443 9055,,
ALP,Gillard,Julia,Eileen,,J. E.,Hon,Ms,MP,FEMALE,(02) 6277 7700,(02) 6273 4100,Vic,Lalor,PO Locked Bag 14,Werribee,Vic,3030,(03) 9741 6213,(03) 9742 5800,,Prime Minister
ALP,Gray,Gary,,,G.,Hon,Mr,"AO, MP",MALE,(02) 6277 7600,(02) 6273 4541,WA,Brand,"1/15 Kent Street, Rockingham",,WA,6168,(08) 9592 1361,(08) 9527 9377,,"Special Minister of State for the Public Service and Integrity, Special Minister of State"
ALP,Grierson,Sharon,Joy,,S. J.,Ms,Ms,MP,FEMALE,(02) 6277 4221,(02) 6277 8461,NSW,Newcastle,427 Hunter Street,Newcastle,NSW,2300,(02) 4926 1895,(02) 4926 1555,,
ALP,Griffin,Alan,Peter,,A. P.,Hon,Mr,MP,MALE,(02) 6277 4303,(02) 6277 8499,Vic,Bruce,PO Box 1034,Waverley Gardens,Vic,3170,(03) 9547 7944,(03) 9547 1444,,
ALP,Hall,Jill,Griffiths,,J. G.,Ms,Ms,MP,FEMALE,(02) 6277 4492,(02) 6277 8505,NSW,Shortland,PO Box 499,Belmont,NSW,2280,(02) 4947 9722,(02) 4947 9711,,Government Whip
ALP,Hayes,Christopher,Patrick,Chris,C. P.,Mr,Mr,MP,MALE,(02) 6277 4682,(02) 6277 8523,NSW,Fowler,"Shop 1B, Cecil Hills Shopping Centre, Lancaster Avenue",Cecil Hills,NSW,2171,(02) 8786 1005,(02) 8786 1004,,Government Whip
ALP,Husic,Edham,Nurredin,Ed,E. N.,Mr,Mr,MP,MALE,(02) 6277 4488,(02) 6277 8590,NSW,Chifley,PO Box 259,Mt Druitt,NSW,2770,(02) 9832 2641,(02) 9625 4344,,
ALP,Jenkins,Harry,Alfred,,H. A.,Mr,Mr,MP,MALE,(02) 6277 4000,(02) 6277 2050,Vic,Scullin,PO Box 167,Mill Park,Vic,3082,(03) 9404 1725,(03) 9404 1911,,Speaker
ALP,Jones,Stephen,Patrick,Stephen,S. P.,Mr,Mr,MP,MALE,(02) 6277 4661,(02) 6277 8548,NSW,Throsby,PO Box 864,Dapto,NSW,2530,(02) 4262 6155,(02) 4262 6122,,
ALP,Kelly,Michael,Joseph,Mike,M. J.,Hon Dr,Dr,"AM, MP",MALE,(02) 6277 4840,(02) 6277 8556,NSW,Eden-Monaro,PO Box 214,Queanbeyan,NSW,2620,(02) 6284 2250,(02) 6284 2211,,"Parliamentary Secretary for Agriculture, Fisheries and Forestry"
ALP,King,Catherine,Fiona,,C. F.,Hon,Ms,MP,FEMALE,(02) 6277 4230,(02) 6277 8428,Vic,Ballarat,5 Lydiard Street North,Ballarat,Vic,3350,(03) 5333 7710,(03) 5338 8123,,"Parliamentary Secretary for Infrastructure and Transport, Parliamentary Secretary for Health and Ageing"
ALP,Leigh,Andrew,Keith,,A. K.,Dr,Dr,MP,MALE,(02) 6277 4140,(02) 6277 8469,ACT,Fraser,Unit 8/1 Torrens St,Braddon,ACT,2612,(02) 6247 3457,(02) 6247 4396 or 6247 4037,,
ALP,Livermore,Kirsten,Fiona,,K. F.,Ms,Ms,MP,FEMALE,(02) 6277 4738,(02) 6277 8434,Qld,Capricornia,PO Box 1919,Rockhampton,Qld,4700,(07) 4922 6607,(07) 4922 6604,1300 301 943,
